Nome do destaque,tipo de destaque,mega trend associada,micro trend associada #1,micro trend associada #2,Descrição,Link #1,Link #2,Images,Videos,Previous work in SONAE,Previous work in SONAE link,How to approach?,NOTAS/comentários.,,threat_categories
Digital Detox Holidays,Real Trend Implementation,Authenticity/Disconnection,Authentic People,,"DigitalDetox is a website that helps users selecting hotels that are offering detox holidays to help them de-stress. No Wi-Fi, zero cell reception, a tech-free attitude and lots of human interactions are the main attractions of these experiences.",http://digitaldetoxholidays.com/,,https://images.pexels.com/photos/691919/pexels-photo-691919.jpeg,,,,,,22,vocabulary_ich_1265
Chatbots for Employees,Trend Enabling Technology,Authenticity/Disconnection,Authentic People,Instant Written Customer Service,"Chatbots are about delivering convenience, personalization, and decision support while people are multitasking. Either for customers on the go, for allow call centers operators reach valuable information about the requirements of the multiple customers they are chatting with, or for sales associates to access details about products and customers while assisting a client.",https://www.akumina.com/office-365/akumina-helping-to-enable-retail-execution-at-nrf-2018-retails-big-show/,,https://www.petfoodindustry.com/ext/resources/Images-by-month-year/16_06/woman-salesman-using-tablet-in-pet-store.jpg,,A previous study and a Proof-of-concept of a chatbot is about to be launched to assist post sales needs of Continente Online customers.,,"EXPERIMENT this technology building on the previous work exploring its viability and feasibility to tackle actual challenges, experimenting in the field and measuring the benefits to the business.",,22,vocabulary_ich_1265
AI for Customer Profiling,Trend Enabling Technology,Authenticity/Disconnection,Authentic People,,"Sensors (e.g. cameras or microphones) capture customer's images or voice to be processed using algorithms. The output are details about the profile of the customers such as mood, age or gender that can be delivered to sales associates or to call center operators to deliver an appropriate service.",https://behavioralsignals.com/behavioral-patterns/,,https://static01.nyt.com/images/2013/10/13/business/13-TECHNO-SUB/13-TECHNO-SUB-articleLarge.jpg,,,,"STUDY this technology to learn who can bring it to the market, what are the associated business models, which are the challenges it can address, and what is the viability and feasibility to address them.",,25,vocabulary_ich_1265
1/2 Hour Deliveries,Real Trend Implementation,Seamlessness/Ease,Quicker Frequent Shopping,Instant Gratification,"Hema is a grocery store chain operated by Alibaba that provides half-hour deliveries using to Robots, apps and overhead conveyor belts to speedy the picking process. Groceries are collected by the driver from one of the multiple delivery service companies that exist in 1st tier Chinese cities that ride its motorcycle towards the delivery address. ",https://medium.com/@jinghanhao/experiencing-new-retail-in-china-hema-fresh-a5ba4c94da22,https://www.cnbc.com/2018/08/30/inside-hema-alibabas-new-kind-of-superstore-robots-apps-and-more.html,"https://cdn-images-1.medium.com/max/1600/1*mQhlb0o4bPQY4FHgNya1rw.png,https://fm.cnbc.com/applications/cnbc.com/resources/img/editorial/2018/08/30/105424221-1535617044324gettyimages-847217038.jpeg,https://cdn-images-1.medium.com/max/1600/0*iu6zJ2lxNyEdEBK0.jpg",https://www.youtube.com/watch?v=UDIvWdwVZMg,,,,,19,vocabulary_ich_1269
Deliveries Ecosystem,Real Trend Implementation,Seamlessness/Ease,Quicker Frequent Shopping,Intant Gratification,"Amazon is recruiting entrepreneurs to expand its network of partners for last mile delivery. This reduces the risk associated with relying on big powerful currier operators such as DHL or UPS. Amazon provide services to launched companies such as training, insurance packs or privileged access to vehicles.",https://www.inc.com/bill-murphy-jr/amazon-is-recruiting-entrepreneurs-to-local-start-delivery-companies-heres-why-i-think-some-people-could-get-rich.html,https://www.retailwire.com/discussion/amazon-calls-on-entrepreneurs-to-help-deliver-its-packages/,https://static-24.sinclairstoryline.com/resources/media/d2be674d-cfab-4dc8-bf82-d4c7de5d5dda-large16x9_AP18180678036194.jpg,,,,,,20,vocabulary_ich_1269
Vlogging Retail,Real Trend Implementation,Continuous Connection,Lifecasting,,"Food With Fleur & Mike"" is Sainsbury's Youtube channel starring beauty and fashion vlogger Fleur De Force and her husband, Mike, trying new recipes for the first time or attempting to cook some of their favorite dishes. Each video scores around 25,000-50,000 views.",https://www.youtube.com/channel/UCOYTXGVqi_SKtbO6X6-baJQ,,https://images.pexels.com/photos/1615824/pexels-photo-1615824.jpeg,https://www.youtube.com/watch?v=nJJlE6qRBPI,,,,,15,vocabulary_ich_1268
Manage Nano-Influencers,Trend Enabling Partner,Continuous Connection,Lifecasting,,"A shift from micro influencer to nano influencers is an occasion of getting closer to the customers. To seize this opportunity, content management tools such as those provided by Tubular are required to measure all video content cross-platform, all-device, globally.",https://tubularlabs.com/,https://www.forbes.com/sites/dbloom/2019/01/01/influencer-marketing-top-trends-2019/#3ff4e706b255,https://images.pexels.com/photos/177707/pexels-photo-177707.jpeg,,,,,,23,vocabulary_ich_1268
Last-Minute Discounts,Trend Enabling Partner,Continuous Connection,Fear Of Missing Out,,"Eatizz is a Canadian startup that offers a simple and clever solution to users which are notified when shopkeeper offer discounted food (close to sales’ expiry date, unsold products) in their neighborhood.",https://www.eatizz.com/en/,,https://innovationmtl.files.wordpress.com/2017/01/eatizz-pub.png,,,,,,21,vocabulary_ich_1268
Exosqueletons,Trend Enabling Technology,Corporate Responsibility,Aging Workforce,,Robotic devices are used to improve the life and everyday activities of people with reduced mobility and with heavy tasks by using robotics and other devices that fit in our bodies. These devices helps with the movement.,https://exoskeletonreport.com/product-category/exoskeleton-catalog/industrial/,,http://en.laevo.nl/wp-content/uploads//2018/07/easy-to-wear.png,,A study about exoskeletons and other wearable for injury prevention is available. Currently an experiment in under discussion.,,"EXPERIMENT this technology building on the previous work exploring its viability and feasibility to tackle actual challenges, experimenting in the field and measuring the benefits to the business.",,13,vocabulary_ich_1284
Food Traceability,Trend Enabling Partner,Experiences,Storytelling,,"IBM's Food Trust Ledger allows consumers to discover the whole story of the products, from farm to shelf",https://www.ibm.com/blockchain/solutions/food-trust,,https://images.pexels.com/photos/162637/watering-watering-can-man-vietnam-162637.jpeg,,,,,,17,vocabulary_ich_1287
Oleogels,Trend Enabling Technology,Experiences,Healthy Junk Food,,"Structured emulsions and edible oleogels are solutions to substitute solid unhealth fats (e.g. butter) with liquid heathy fats (e.g. linen oil). This allows the production of crunchy meltable food containing fatty acids instead of saturated fats (e.g. chocolate, cookies).",http://www.emulsar.com/,,https://i2.wp.com/learntolovefood.com/wp-content/uploads/2015/01/2015-01-26-08-54-05.jpg,,"An internal study exploring the use of oleogels to replace animal fat with linen oil in sausages or hamburgers concluded that this application is to economically viable. Other applications in sauces, chocolate or cookies were not explored.",,"Study this technology to learn who can bring it to the market, what are the associated business models, which are the challenges it can address, and what is the viability and feasibility to address them.",,8,vocabulary_ich_1287
DNA Metabolic Analysis,Trend Enabling Technology,Health And Wellness,Functional Food,Personalized Food,"The genetic metabolic analysis determines how the client digests the macronutrients (carbohydrates, proteins and fats ) which are differently digested by people. This way it is possible to recommend the diet type which is likely to work best for the client.",https://www.cogap.de/en,https://www.vox.com/2016/11/2/13453434/personalized-diet-nutrition-dna,https://cdn.vox-cdn.com/thumbor/_DgeJfMtFSnt-LSMrXMF15XEmXI=/0x0:2124x1593/920x613/filters:focal(0x0:2124x1593):format(webp)/cdn.vox-cdn.com/uploads/chorus_image/image/51633001/dna-lettuce-3.0.0.jpg,,,,"Study this technology to learn who can bring it to the market, what are the associated business models, which are the challenges it can address, and what is the viability and feasibility to address them.",,22,vocabulary_ich_1264
A2 Milk,Trend Enabling Partner,Health And Wellness,Functional Food,,"A2 milk is cow's milk that mostly lacks a form of ?-casein proteins called A1 and instead has mostly the A2 form which many believe causes the same gut problems as lactose intolerance. The australian A2 Milk Company claims that this milk is a result of breeding, not GMOs, brough this product to the market and has 10% of milk market share in Australia.",https://thea2milkcompany.com/, ,https://demedbook.com/images/1/a2-milk-what-you-need-to-know.jpg,,,,,https://www.nutraceuticalsworld.com/issues/2018-11/view_features/key-trends-in-functional-foods-beverages-for-2019,7,vocabulary_ich_1264
FoodPrint,Real Trend Implementation,Hiper Personalization,Personalized Content,,"""Nutrino collects data on both food composition and individuals' health and, through its trademarked FoodPrint technology, combines the two to analyse how people's bodies react to different foods. It then makes personalised suggestions, recommending the foods that are the healthiest possible choices for the individual in question.""",https://www.nutrinohealth.com/,,https://images.pexels.com/photos/139259/pexels-photo-139259.jpeg,,,,,,9,vocabulary_ich_1267
Wortubers,Real Trend Implementation,Informed People,Eternal Newbies,,"A video channel (similar to youtube) that is a new way of learning, in a more simple, faster and practical  way. The goal is to share knowledge among Worten employees, using videos produced by them. It is intended to provide new ways of learning and encourage a culture of knowledge sharing.",,,https://images.pexels.com/photos/545334/pexels-photo-545334.jpeg,,,,,,9,vocabulary_ich_1263
